,Priority,text
24851,P3,a minute a number more a minute thread dump thread dump b05 mixed mode prio=5 java.lang a org.eclipse.ui.views.markers.internal org.eclipse.ui.views.markers.internal org.eclipse.ui.views.markers.internal org.eclipse.ui.views.markers.internal daemon nid=0x5f8 runnable java.util.zip java.util.zip java.util.zip a java.util.zip org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core a org.eclipse.jdt.internal.core prio=5 nid=0xc78 java.lang a a va:512 prio=5 tid=0x0422b008 nid=0xf54 runnable org.eclipse.jdt.internal.compiler org.eclipse.jdt.internal.compiler BuildManager$1.run(BuildManager.java:227 AutoBuildJob.doBuild(AutoBuildJob.java:139 AutoBuildJob.run(AutoBuildJob.java:200 prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 nid=0xf68 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 tid=0x03f3e420 runnable java.lang prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 tid=0x032fc128 nid=0xd68 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 tid=0x03323e90 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 java.lang a org.eclipse.ui.views.markers.internal org.eclipse.ui.views.markers.internal org.eclipse.ui.views.markers.internal org.eclipse.ui.views.markers.internal prio=5 tid=0x03361bc8 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 tid=0x03340398 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 tid=0x02fff838 nid=0x8cc java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a tid=0x03309558 nid=0xa9c condition java.lang daemon nid=0xb0 monitor entry lock a org.eclipse.jdt.internal.core a java.lang daemon tid=0x02f643d0 runnable java.lang a a prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a indexing daemon tid=0x02fc1a70 nid=0xdac java.lang a org.eclipse.jdt.internal.core.search.indexing java.lang a org.eclipse.jdt.internal.core.search.indexing java.lang java.lang java.lang.ref a java.lang.ref java.lang.ref prio=5 java.lang WorkerPool.sleep(WorkerPool.java:168 a daemon prio=5 nid=0xe4c java.lang a java.lang a EventThread.run(EventThread.java:100 daemon prio=5 tid=0x00a32bf8 nid=0xe1c java.lang a java.lang a EventThread.run(EventThread.java:100 daemon prio=5 tid=0x00a1c570 nid=0x2a8 condition java.lang java.lang daemon tid=0x0003d808 condition daemon prio=9 nid=0xd44 java.lang java.lang.ref a java.lang.ref java.lang.ref java.lang.ref daemon java.lang java.lang java.lang.ref a java.lang.ref main nid=0xe8c monitor entry org.eclipse.jdt.internal.ui.javaeditor lock a org.eclipse.jdt.internal.core org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.ui.texteditor org.eclipse.ui.texteditor org.eclipse.ui.texteditor a Workbench.runEventLoop(Workbench.java:1514 sun.reflect sun.reflect sun.reflect prio=5 runnable nid=0x9b0 condition tid=0x009c2230 runnable
24860,P3,treatment compliant bug problem raw parameterized special result same reveiver raw parameterized a different result example class void call method type a method return type make special case clear strange java5 people method strange doc a type type receiver a generic class bizarre
24874,P4,monolithic take look bug bug connection make similar subsystem
24877,P3,creation class try create class long build get indexer little feedback user job dialog info workbench project unrelated build create class build build job know indexer lot time expect workspace whole workspace class unrelated attach trace
24880,P2,junit run configuration inner test have pseudo code package boo public class private void public static class public void find method package explorer right click drag test test configuration class boo try run configuration get error class change test class boo configuration think boo correct wrong
24887,P2,possible debug application error emulator internal error org.eclipse.jdi.internal org.eclipse.jdi.internal org.eclipse.jdi.internal DebugViewLabelDecorator$LabelJob.run(DebugViewLabelDecorator.java:326 impossible moment lucky get debugger connect emulator appear work set different
24889,P4,edit source default system attachment location tree item open appropriate editing dialog button
24893,P3,wrong caret indentation auto closing new workspace new project set code formatter new class t package t public class class body write void have caret brace press caret next blank line column blank line caret column last space character
24894,P2,processing async thread queue debug perspective get processing async thread queue message view open watch relevant current debug session expression unresolved expression red stack trace = = = = x86 = = -showlocation line -arch x86 -data showlocation trace processing async thread queue org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine pression(ASTEvaluationEngine.java:168
24905,P3,.class version runtime runtime find class file few more source tree jar class path above error message sunpkcs11.jar rt.jar include class path come way determine such remove see
24911,P3,bug bug
24920,P2,behave other requirement first question other implement add duplicate classpath launch
24921,P2,launcher cause exception grey dialog edit launcher path exception button unable apply problem launcher reference absolute path machine workstation workstation path read relative path absolute path expected behavior dialog flag red usual fashion allow user correct problem cross - platform path solution rest team response exception grey apply button path enable button org.eclipse.jdt.internal.core absolute org.eclipse.jdt.internal.core org.eclipse.jdt.internal.launching LaunchConfigurationTabGroupViewer.setInput(LaunchConfigurationTabGroupViewer.java:452 DebugUITools.openLaunchConfigurationDialogOnGroup(DebugUITools.java:358 sun.reflect sun.reflect sun.reflect
24923,P2,ContainerCheckedTreeViewer head java editor event loop exception containercheckedtreeviewer incompatible internal ContainerCheckedTreeViewer . ContainerCheckedTreeViewer incompatible internal ContainerCheckedTreeViewer . . . . . . . . . . SelectionStatusDialog.create(SelectionStatusDialog.java:149 . . . CheckedTreeSelectionDialog$1.run(CheckedTreeSelectionDialog.java:257 . . CheckedTreeSelectionDialog.create(CheckedTreeSelectionDialog.java:255 . . . . . . . . . . . . . . . . . . . . . . . sun.reflect . sun.reflect . sun.reflect . sun.reflect . . . . . .
24926,P3,unimplemented appear enum ruler quick fix error+lightbulb icon quick fix appear
24927,P3,startup I20050324 get several startup dialog log plugin long time startup org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.launching org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core DeltaProcessor.updateClasspathMarkers(DeltaProcessor.java:2109 org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core NotificationManager.notify(NotificationManager.java:269 AutoBuildJob.run(AutoBuildJob.java:200
24930,P2,line javadoc comment part code collapse javadoc comment select whole line key javadoc whole comment first line problem header comment public class void
24932,P1,bug debug completion need work find new mapping functionality
24935,P3,code template subproject variable code structure project building packaging new java like variable box subproject name file project
24954,P2,test collector ignore abstract test useful many example same several functionality fail message instantiate test case test collect ignore abstract test
24962,P3,method autocomplete add d use override method autocomplete implement abstract unable come standalone test case snippet exhibit behaviour public static void args new override
24966,P3,java editor error message dialog box operation key remember exact text editor unusable gray text area d stack trace get valid valid org.eclipse.jface.text.source.projection org.eclipse.jface.text.source.projection org.eclipse.jface.text.source.projection org.eclipse.jface.text.source.projection AnnotationModel.java:452 AnnotationModel.java:452 org.eclipse.jface.text.source.projection org.eclipse.jface.text.source.projection org.eclipse.jface.text.source.projection AbstractDocument.java:662 AbstractDocument.java:662 org.eclipse.jface.text.source.projection org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor org.eclipse.ui.texteditor.TextOperationAction.run Display.readAndDispatch(Display.java:2539 Workbench.runUI(Workbench.java:1578 org.eclipse.core.internal.runtime PlatformActivator$1.run EclipseStarter.java:333 sun.reflect
24967,P3,error wrong place code bug eclipse code unreachable wrong section public static long test2 long sum int I sum I return sum s bug code I unreachable code error sum i line choose mark error line return sum
24968,P3,adopt content type association adopt new editor content type bug association support eligible bug more
24969,P3,non - java extension support bug current effort support non - java java content see bug exist syntax highlight navigate ctrl - click source blue color time make brutal search .java string many non - java support assumption file extension consult core plugin
24972,P2,huge amount memory allocation tool live compiler incoming turn open huge waste space have few active inclination kill editor focus
24974,P5,selection test nice feature launcher pick individual test test class run
24988,P2,doc generation build see warning generation src /org.eclipse.jdt.launching warn @see reference
24990,P3,different new source folder package explorer right click project select dialog go page source tab click source folder creation dialog different step inconsistent same thing dialog step have button source folder dialog step
24995,P3,provide class file content type provide class content type attach patch enable class file viewer content type file name bug bug more
24998,P3,member parameterized type error public interface public static enum import com.google.bigtable public class SampleClass2 public void thing public class public void SampleClass2 sample new SampleClass2 error method type sampleclass2 applicable think equivelent error
25005,P3,override compatibility follow code public interface public void p public class public void p javac abstract override abstract method public class ^ error code underneath following output eclipse thread main java.lang java.lang output javac thread main java.lang java.lang consistent implementation simple know more issue Coconha public class public super = new public class public void public class public void public static void args new javac viewer javac version = = method entry foo(java.lang public access flag class file same compile eclipse version = = foo(java.lang public access flag foo(java.lang public bridge synthetic access flag class file same javac version compile
25007,P4,pref page pref page order different other
25016,P3,specific property show candidate property code style compiler show link configure workspace project specific case link disabled grayed
25017,P3,pre - project PreferenceDialog.createPageControl(PreferenceDialog.java:1407 Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect reproduce create project compiler specific project open workspace go page building click link project specific dialog project specific setting click addition log entry get dialog page invalid
25021,P3,project specific test candidate terminology project preference same project property preference page read project specific associated dialog label project configure checkbox label project specific setting
25022,P3,state exception externalize string wizard test pass reproduce package externalize public class public void s= externalize string use option press next press next click node file refactoring avoid move . . . . . . . . . . . . . . . . . StructuredViewer.handleSelect(StructuredViewer.java:934 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:452 . . . . . . . . . . . . . . . . . . . Workbench.runUI(Workbench.java:1534 . . . . . . sun.reflect . sun.reflect . sun.reflect . . . . . .
25025,P3,persistent args certain long time default argument launch config re - same name specify default old free expect
25026,P2,wizard usability pass most mode move check box area class wizard provide option present workspace avoid normal option
25050,P3,semantic gtk search exact org.eclipse.jdt.internal.ui.javaeditor org.eclipse.jdt.internal.ui.javaeditor Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25055,P2,inspect popup size start new workspace create new project creaet new scrapbook file .jpage use snippet select inspect result popup big increase size popup close popup re - select inpsect same expression popup re - same original size size
25057,P2,completion seem correct build create p package p public class create q package q public class zzz do location first proposal zzz second case zzz proposal
25063,P4,remove source attachment make empty I20050330 - select use default system source attachment make attachment empty source attachement none dismiss edit dialog dismess dialog Re - open pref page select source attachment original state none
25065,P2,pref page select c:\ busy cursor dialog press cancel pref dialog search dialog SWT.error(SWT.java:2860 Workbench.runUI(Workbench.java:1534 org.eclipse.core.internal.runtime PlatformActivator$1.run sun.reflect Workbench.runUI(Workbench.java:1534 org.eclipse.core.internal.runtime PlatformActivator$1.run sun.reflect org.eclipse.jdt.internal.launching org.eclipse.jdt.internal.launching org.eclipse.jdt.internal.launching org.eclipse.jdt.internal.launching JREsUpdater$1.run
25066,P3,rename refactoring % reliable editor View.java fold header comment caret end constructor invocation foo last character dirty View.java sure invoke refactoring label provider header comment unfold syntax coloring View.java c package coloring public class foo new package coloring public class
25067,P2,eval loop test program breakpoint line breakpoint hit eval snippet int sum int integer list integer import import public class public static void args new public void list new list.add(one bar(list public void fooint list new barint(list private void list switch case break case break default break private void list int sum int integer list integer get exception internal core incompatible core org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine
25068,P3,mixed tab bug text ui land involve conversion class
25071,P2,test browser recognize nested browse list class test class name browse dialog matching list button other hand wizard work nested class name main window nested work
25077,P2,evaluate c new return c testcase snippet editor include resolve collection iterator error console type compatible class Class.verify(Class.java:254 Class.initialize(Class.java:317 sun.reflect
25079,P2,step confuse stratum first line date time step call stack advanced breakpoint line line line line boolean line boolean line line line line line line line line line line line line line line line line line line line line line line line line line line line line boolean line boolean line line line line line line line line line line line line line line line line line line line line line line line line line line line step active org.apache step apply stratum
25085,P2,explicit return value expression runtime error simple class string variable breakpoint public class private test public static void args private void test watch expression expression breakpoint expression explicit return value exception exception label include explicit return value expression void value case
25087,P3,preference page add new detail formatter dialog create new formatter type name field code assist exception log DisplayCompletionProcessor.getErrorMessage(DisplayCompletionProcessor.java:84 WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:452 Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25102,P4,hierarchy use class type version eclipse version bugzilla use see get call like have call
25103,P3,test candidate reproduce source class use change supertype select available line line line line line int line int line line line line line line line line int line line line typeset empty array type binary method parameter non - array type type null
25107,P3,breakpoint gtk debug dragndrop problem put breakpoint method run debug mode gtk get have kill keyboard get other mouse cursor button get cursor shape drag drop indicator s top side square instance perspective running target debug drag drop take place drag drop editor target instance believe severity critical crash know debugger problem
25111,P3,switch enum candidate code public class static final void color switch color case BLUE case break case enum BLUE complete expect
25117,P3,disable mode one setup multiple quick mode correct thing you choose one you use you interface mode disabled single prefix majority time end incorrect need go fix preference inhibit use mode help alleviate
25118,P3,class interface same time interface a class same operation error log . create a new project create empty interface create empty class select interface class delete same time . deletion occur . org.eclipse.jdt.ui org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . org.eclipse.jdt.internal.core . . . . . . . . . . . . . . . . . . . . . . . . . . . ModalContext$ModalContextThread.block(ModalContext.java:153 . . . . . . . . . . . . . . . . . . . . . UserInterfaceStarter.activate(UserInterfaceStarter.java:56 . . . . . RetargetAction.runWithEvent(RetargetAction.java:216 . . . . WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:452 . . . . . . . . . . . . . . . . . . . . Workbench.runUI(Workbench.java:1534 . . . . . . sun.reflect . sun.reflect . sun.reflect . . . . . . exist
25119,P3,printf printf compile run same java file console fine
25123,P3,dialog error icon default severity dialog error warning match default compiler problem severity warning add link dialog preference page severity
25126,P2,show correct thread create breakpoint switch breakpoint hit thread thread breakpoint debugger show breakpoint have search find
25128,P3,wrong cast snippet package generics2 import public class void raw ext correct cast error wrong fail raw correct raw conversion warning raw correct raw conversion warning snippet eclipse second assignment check type warning fail output javac javac eclipse runtime generics2 inconvertible eclipse runtime generics2 inconvertible eclipse runtime generics2 warn unchecked conversion raw eclipse runtime generics2 warn unchecked conversion raw
25131,P3,mark declaration equivalent mark erasure equivalent example binding bug public class static class void arg void arg void arg void arg void arg void arg void arg void arg void arg
25140,P5,help press see context sensitive stuff example cursor word line = new give link such first part link part set functionality possible turn help replace method help change new help system need help
25142,P3,file package explorer destructive - file package explorer desktop behavior desktop user workspace package explorer file behavior desktop explorer correct workspace left mouse button many different user aware parititon s way tell drag result move copy provide clear precident native behavior virtual workspace go non - destructive behavior copy leave - drag - - - move - operation - thing feature bug package explorer refresh portion workspace drag provide way copy workspace - click drag get context menu copy partition
25149,P3,great idea enhancement new idea access enforce architecural be able define access individual source root source path example common have one root source folder one main source need be able specify main source refer test code other way cause important feature needed fit current project add same gui feature source folder be able package metadata distribution get right set be nice be able define access individual source
25164,P3,compile code compile public class public class public int return -1 public static void args new new line compile
25169,P3,search work sure component a java project a new java .class file editor text specific krążownik programmer keyboard layout type right equvalent letter right a right e right z right right right s cursor top file 1st line enter mode enter letter s msg status bar reading text linux editor standard text editor work editor
25172,P4,trace console use console font standard console font seem effect stack trace console least open
25176,P2,log sure hit rapid succession execute runnable execute runnable SWT.error(SWT.java:2860 Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect sun.reflect Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect sun.reflect
25177,P3,search Java(TM b64 time specific method know reproduce method undone method method internal error MatchLocator.locateMatches(MatchLocator.java:929
25179,P2,compile code superclass class following static final int private boolean true private boolean true private boolean true choose constructor pick private boolean true private boolean true private boolean true get public programN boolean programN boolean programn super constructor stub programN this.testMirrorCommAreaProgramN programN programN programN compile parameter match ivar
25188,P3,wizard show export state container understand bug buildpath wizard able figure osgi runtime project reexport entire container see
25203,P2,process use support part conversion move several class outline view default -Xmx512 memory operation heap point bit excessive setup d source bind bundle new class
25215,P4,able assign warning source code use high eclipse warning get code such code able say specific source folder report code folder way put stuff folder production code irritated 50k pointless think way add property source folder boolean true
25216,P3,profile .project have several use different formatter think able relate project profile have switch default profile time change
25226,P3,warning code eclipse warning error public class public interface public interface public private null public void this.x).getString problem line this.x).getString warning safety cast erased type javac imconvertible ciao
25234,P3,internal package public
25239,P3,method equality consult
25247,P5,new folder use active default source folder new project new class dialog input source folder scratch src drop /src part class MyProject/ src source folder predefine default convenient project folder predefined source folder
25249,P4,class name eclipse include import class name eclipse include import class public class public void choose organize result import public class public void same other @see import qualify class flag warning
25252,P3,semicolon semicolon least new expect closing semicolon jump ex anonymous inner class say inserting brace parenthesis close insert correct position
25262,P3,build editor method name call expression effect type name effect menu disabled selection fix
25275,P2,trim build platform specific trim table ColumnPixelData implementation bug
25278,P3,reason go delegate option generate delegate see screenshot
25281,P3,rename file much occur identifier complex expression new array use file replace collection result array count insert
25282,P2,dialog select method declaration click org.eclipse.jdt.internal.corext . assertion org.eclipse.jdt.internal.corext . org.eclipse.jdt.internal.corext . . . . . . . . . . . . . . . . . . . . . . . . . . . . WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:452 . . . . . . . . . . . . . . . . . . . Workbench.runUI(Workbench.java:1534 . . . . . . sun.reflect . sun.reflect . sun.reflect . sun.reflect . . . . . .
25285,P3,answer info information certain info answer check resolution sense
25291,P4,void expression null build null accurate void return type return value null void descriptive return value
25293,P4,marker refresh line java code have example int offset int int set breakpoint first second line breakpoint ruler area file first line breakpoint marker ruler area file look view click second breakpoint highlight line statement int line have marker ruler area problem line breakpoint right line breakpoint delete second line above case marker line line statement int be third line situation debug breakpoint support driver
25295,P3,pass project number null formatter
25297,P2,application cancel d plugin test package explorer popup menu choose dialog hit cancel test
25299,P2,in editor build following exception in log file believe ctrl shift u turn mark realize right key binding hit icon get message everytime hit mark icon preference node node real code plug in node EclipsePreferences.get(EclipsePreferences.java:362 org.eclipse.jdt.internal.ui.javaeditor ChainedPreferenceStore.access$0(ChainedPreferenceStore.java:407 org.eclipse.jdt.internal.ui.javaeditor RetargetAction.runWithEvent(RetargetAction.java:216 Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect sun.reflect
25302,P3,have possibility create new project possible create new project package explorer work set project new project have default working set behaviour possibility create project package explorer work set project part
25309,P4,dialog non - modal make non - modal similar dialog
25313,P2,constructor wrong parameter name private static class public int modifier public char name public char public char public path constructor field get name
25314,P3,typing work typing work milestone
25323,P3,type safety warning generic inner type safety warning Eclipse-3.1M6 generic static inner class generic outer class think warning method incorrect code class public public class public static class public public void d line warning new d public void c type safety warning expression type unchecked conversion conform new c
25328,P3,complete introspect method change return val method return method method return type type void quick fix change method return type change method return type method void return bit complex video eclipse linux gtk
25331,P2,view % target code a workspace a stack overflow target task manager view detect tree main tid=0x00035db8 runnable RemoteTreeViewer.add(RemoteTreeViewer.java:271 a org.eclipse.debug.internal.ui.views.launch StructuredViewer.preservingSelection(StructuredViewer.java:1191 a org.eclipse.debug.internal.ui.views.launch RemoteTreeContentManager$2.runInUIThread(RemoteTreeContentManager.java:153 org.eclipse.ui.progress a Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25335,P3,import export import export convert convert import export new support available wizard example see ext code necessary need do preference migration import see modifier element
25336,P3,incorrect char have field public static final char = single quote character space character
25338,P4,test allow unit test part standard out nice feature support m sure do able keep output console test view jump console part standard out wonderful feature testing unit
25339,P3,variable string find quick fix field string useful example | cursor position value blah blah quick fix show pop list scope string current cursor position variable string value foo blah blah
25343,P3,function d
25346,P3,check component.xml several sure have look new component.xml other text use regular api package explorer paste component.xml org + \r\n same
25348,P2,change method signature code completion useable initalize code completion type selection change method signature press enter select right type code completion enter table value code completion popup see know select keyboard mouse possible
25355,P3,improvement I20050413 profiling step same object view perform source lookup object suspend order evaluate resolve project evaluate expresssion able cache project object cahce expression cache project type name classloader type name avoid problem same name differente
25363,P2,disabled active option menu disable prespective
25372,P2,method vararg parameter inline following method error public static final key change type . stack trace . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Workbench.runUI(Workbench.java:1534 . . . . . . sun.reflect . sun.reflect . sun.reflect . . . . . . org.eclipse.jdt.internal.corext . null argument org.eclipse.jdt.internal.corext . org.eclipse.jdt.internal.corext . . . . . org.eclipse.ltk.core.refactore . CheckConditionsOperation.run(CheckConditionsOperation.java:84 org.eclipse.ltk.core.refactoring . . . . exception org.eclipse.jdt.internal.corext . null argument org.eclipse.jdt.internal.corext . org.eclipse.jdt.internal.corext . . . . . org.eclipse.ltk.core.refactore . CheckConditionsOperation.run(CheckConditionsOperation.java:84 org.eclipse.ltk.core.refactoring . . . .
25374,P3,decorator search decorator editor line search item little yellow arrow decorator debug decorator tell breakpoint set
25378,P3,old access project entry set access editor use accessible type access access make type non - accessible same classpath error
25382,P3,infrastructure
25385,P2,internal error run application junit test get error work have project launch error stack - - internal error DebugUIPlugin.buildAndLaunch(DebugUIPlugin.java:731 DebugUIPlugin$6.run(DebugUIPlugin.java:929 = - problem view project give hint be project specific work launch configuration re - run launch fail success find more information add
25386,P2,stye message class = = = = x86 = = -update -application org.eclipse.ui.ide.workbench -keyring -showlocation line -update -application org.eclipse.ui.ide.workbench -keyre -showlocation -data event loop exception null argument . null argument . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . RetargetAction.runWithEvent(RetargetAction.java:216 . . . . . . . . . . Workbench.runUI(Workbench.java:1534 . . . . . . sun.reflect . sun.reflect . sun.reflect . . . . . .
25391,P3,dependency deprecate java history package org.eclipse.jdt.internal.ui.compare use deprecated class class file
25397,P3,poor org.eclipse.jdt.internal.core eclipse environment large time annoying work seem able type eclipse respond view see org.eclipse.jdt.internal.core large time machine box dual d expect less eclipse different 1.4.2 different help s internal s d happy try suggested report
25402,P3,debugger d inspect value code fragment debugger scope inspection test case public static void args breakpoint evaluate last line int new org.eclipse.jdt.internal.debug.eval.ast.engine MethodInvocation.accept0(MethodInvocation.java:236 org.eclipse.jdt.internal.debug.eval.ast.engine MethodInvocation.accept0(MethodInvocation.java:236 org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine org.eclipse.jdt.internal.debug.eval.ast.engine Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25410,P3,index building in part performance effort in task build search index document plug part regular build apply in defect plug user isv index building
25415,P3,java honor task priority java todo task view normal priority priority
25429,P2,show view show sign bug address problem view debugger provide own variable adapter implement mayHaveChildren signature
25431,P3,code completion non - string definition present file java file declaration private static final = \u0397\u03bc\u03b5\u03c1\u03bf\u03bb\u03cc\u03b3\u03b9\u03bf attempt ctrl - space code - complete error log - - 12:32:47.581 = - = = linux = x86 = gtk = - line linux gtk -arch x86 - - command key - - command key org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.ui.javaeditor WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:452 Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25445,P1,top frame monitor stack code ensure show debug view step method top frame previous top frame second top
25449,P2,new move range replace old rewrite feature new non - modifiying range replace node inline method additional org.eclipse.jdt.core.dom.rewrite placeholder node move range current list moved node placeholder node new replace node document copy source code node range output document position correspond placeholder indentation first node range last node range node set location move null remove edit group collect corresponding text fro replace null ungrouped @return new placeholder node exception first last node null node child current list first node last node move range other move range @since public final first last
25456,P3,content assist b64 content assist view work following exception know reproduce add more have event loop exception -1 -1 Parser.getUnspecifiedReference(Parser.java:7893 org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.codeassist org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core WorkbenchKeyboard.executeCommand(WorkbenchKeyboard.java:452 Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25457,P1,wizard new format externalize open wizard file check option use new format get error invalid get error overlay bunch checkbox column work
25458,P4,more refactore related internal low level minimum able write new lot boilerplate code internal low risk few many other helper
25478,P2,random plugin run several collision prompt wrong import import
25480,P2,icon icon
25485,P3,capture patch perform inference type big testcase src error dialog exception log . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . Workbench.runUI(Workbench.java:1534 . . . . . . sun.reflect . sun.reflect . sun.reflect . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ASTParser.createASTs(ASTParser.java:646 . org.eclipse.ltk.core.refactore . CheckConditionsOperation.run(CheckConditionsOperation.java:84 org.eclipse.ltk.core.refactoring . . Workspace.run(Workspace.java:1716 . . exception . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ASTParser.createASTs(ASTParser.java:646 . org.eclipse.ltk.core.refactore . CheckConditionsOperation.run(CheckConditionsOperation.java:84 org.eclipse.ltk.core.refactoring . . Workspace.run(Workspace.java:1716 . .
25491,P3,completion method slow use auto completion large java file large project complete method parameter take several perform completion pop variable list come first match list example type hit complete show dozen let select first
25495,P3,editor link editor more time see workspace view sure package explorer make sure link editor open type class open notice tree first editor least impression do first time type reproduce have change type link editor option problem
25500,P3,build following .log host eclipse further org.eclipse.jdt.internal.core.index DiskIndex.mergeCategory(DiskIndex.java:403 org.eclipse.jdt.internal.core.index org.eclipse.jdt.internal.core.index org.eclipse.jdt.internal.core.index
25506,P3,breakpoint clicked editor margin create breakpoint Workbench.runUI(Workbench.java:1534 sun.reflect sun.reflect sun.reflect
25512,P3,removed type binary project project binary say content project remove access view old content get following exception sure help responsible need catch exception org.eclipse.jdt.ui build path org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.internal.core org.eclipse.jdt.ui ReusableHelpPart.update(ReusableHelpPart.java:920
25514,P2,memory leak active content assist potential memory leak big snapshot m sure leak retain content assist proposal popup attach screenshot snapshot
25524,P2,guess propose array - guess non - array current guessing strategy handle array
25543,P2,local handle public class public foo return null void void bar extract local foo get compile
25547,P3,unfolding editor scroll comment first line visible area editor editor line marker visible area user comment have scroll
25549,P3,add blank prio low suggestion anybode mention
25551,P3,constant refactoring move - extranct foo string constant fragment marker original location be nice new constant declaration have mark have fix warning remove unused more string line have re - calculte - tag - extraction expect look private static final foo -
25565,P3,build reaction failure decorator bug classpath container initialization fail middle initialization succeed full build init failure leave inconsistent state subsequent build full build
25568,P3,name nlsd extension name transfer
